,uuid,substance,number,INCI
12281,fa01fd28-5d6a-4215-b27d-6ee4fcf3d3c0,"Barium oxide (BaO), solid soln. with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, copper-doped",309-892-9,
12282,1187974a-e8c0-4fe9-953c-7faaa6c78368,"Benzenamine, reaction products with aniline hydrochloride and nitrobenzene",309-912-6,
12283,81659856-09c9-4fa6-9d0f-14ea46f8e063,"Benzenamine, reaction products with aniline hydrochloride and nitrobenzene, hydrochlorides",309-913-1,
12284,f84b1867-4016-442d-844d-86f57b9d4010,"Benzenamine, N,N-dimethyl-, oxidized, molybdatetungstatephosphates",309-916-8,
12285,fca37125-c54c-43b4-a818-60addd934ef4,"Silicic acid, aluminum sodium salt, sulfurized",309-928-3,
12286,7229bea4-0ead-4031-a6ea-7b5b02108318,"Distillates (petroleum), heavy steam-cracked [A complex combination of hydrocarbons obtained by distillation of steam cracking heavy residues. It consists predominantly of highly alkylated heavy aromatic hydrocarbons boiling in the range of approximately 250°C to 400°C (482°F to 752°F).]",309-939-3,
12287,89d31ab9-1b29-4832-acff-7813f1e15ec3,"Naphtha (petroleum), sweetened light [A complex combination of hydrocarbons obtained by subjecting a petroleum naphtha to a sweetening process to convert mercaptans or to remove acidic impurities. It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C5 through C8 and boiling in the range of approximately 20°C to 130°C (68°F to 266°F).]",309-976-5,Captan
12288,5de89b50-654b-4a73-a67e-857994466400,"Distillates (coal tar), benzole fraction, BTX-rich [A residue from the distillation of crude benzole to remove benzole fronts. Composed primarily of benzene, toluene and xylenes boiling in the range of approximately 75°C to 200°C (167°F to 392°F).]",309-984-9,Toluene
12289,18d46a44-c61b-4982-a16e-3a4d3dcfa370,"Distillates (coal tar), naphthalene oils, methylnaphthalene fraction [A distillate from the fractional distillation of high temperature coal tar. Composed primarily of substituted two ring aromatic hydrocarbons and aromatic nitrogen bases boiling in the range of approximately 225°C to 255°C (437°F to 491°F).]",309-985-4,Coal Tar
12290,716880b7-b6a8-4782-b0c6-2c74bbb2ab4f,"Hydrocarbons, C3-6, C5-rich, steam-cracked naphtha [A complex combination of hydrocarbons obtained by distillation of steam-cracked naphtha. It consists predominantly of hydrocarbons having carbon numbers in the range of C3 through C6, predominantly C5.]",310-012-0,
12291,8f8ecaa2-5ec5-412e-a7ca-73e729be81e8,"Hydrocarbons, C5-rich, dicyclopentadiene-contg. [A complex combination of hydrocarbons obtained by distillation of the products from a steam-cracking process. It consists predominantly of hydrocarbons having carbon numbers of C5 and dicyclopentadiene and boiling in the range of approximately 30°C to 170°C (86°F to 338°F).]",310-013-6,
12292,aff7f8f0-6a23-43a1-8586-514db714ceae,"Aluminum oxide (Al2O3), solid soln. with cerium oxide (CeO2) and magnesium oxide, terbium-doped",310-017-8,
12293,746374fd-4dd9-4e77-86c5-32df3bd2805f,"Boric acid (H3BO3), solid soln. with strontium oxide, europium-doped",310-028-8,Boric Acid
12294,03bf616c-fe27-4a7a-8351-96b5dc59f6a9,"Residues, copper-iron-lead-nickel matte, sulfuric acid-insol.",310-050-8,
12295,a18250e8-c1e1-4b91-9aa0-003673b86b85,"Residues, precious metal refining cementation [The residues obtained by the addition of aluminum or zinc to end liquors obtained from secondary refining of gold, iridium, osmium, palladium, platinum, rhenium, ruthenium or silver. Composed primarily of the precious metals, ammonium chloride and chlorides of aluminum, magnesium and zinc.]",310-051-3,
12296,9eac517f-af9e-436b-94a1-7bbde9c07f5a,"Residues (petroleum), steam-cracked light, arom. [A complex combination of hydrocarbons obtained by the distillation of the products of steam cracking or similar processes after taking off the very light products resulting in a residue starting with hydrocarbons having carbon numbers greater than C5. It consists predominantly of aromatic hydrocarbons having carbon numbers greater than C5 and boiling above approximately 40°C (104°F).]",310-057-6,
12297,da48bce6-9b57-4be0-a06e-d4a7532a169d,"Slags, elec. furnace smelting, iron silicate",310-060-2,Silica
12298,45854b56-f6fb-4a64-9fa3-b6740cdbfd43,"Slimes and Sludges, battery scrap, antimony- and lead-rich [A product obtained by the treatment of battery scraps to recover lead. Composed primarily of oxides and sulfates of antimony and lead.]",310-061-8,
12299,9c942c1e-9018-4fa1-99ad-a6ffaf8f7268,"Alcohols, C6-24 and C6-24-unsatd., distn. residues [The complex residue resulting from the vacuum distillation of C6-24 and C6-24 unsatd. fatty alcohols which is derived from hydrogenation of C6-24 and C6-24 unsatd. fatty acids methyl esters. It consists predominantly of satd. and unsatd. fatty alcohols having carbon numbers greater than C18, dimerization products, and long chain esters having carbon numbers greater than C32 and boils at > 250°C (482°F) at 10 torr.]",310-079-6,
12300,36957f32-c8f0-4ac9-808b-866127b3000c,"Alcohols, C6-24, distn. residues [The complex residue resulting from the vacuum distillation of C6-24 fatty alcohols which is derived from hydrogenation of C6-24 fatty acids methyl esters. It consists predominantly of satd. fatty alcohols having carbon numbers greater than C18, dimerization products, and long chain esters having carbon numbers greater than C32 and boils at > 250°C (482°F) at 10 torr.]",310-080-1,
12301,2409830e-efcb-4ab6-b1da-ddba3a70efd9,"Fatty acids, C6-24 and C6-24-unsatd., Me esters, distn. residues [The complex residue resulting from the distillation of C6-24 and C6-24 unsatd. fatty acids methyl esters which is derived from natural fats having a carbon range of C6-24. It consists predominantly of satd. and unsatd. fatty acids methyl esters having carbon numbers greater than C20, dimerization products, and wax esters and boils at > 200°C (392°F) at 10 torr.]",310-083-8,
12302,d9e9a18d-2bc1-4637-9186-9404273624c5,"Zanthoxylum, ext. [Extractives and their physically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from Zanthoxylum, Rutaceae.]",310-094-8,
12303,b4dbfcad-6fc7-41fb-875d-30c74cf7614c,"[cyclohexane-1,2-diylbis[nitrilobis(methylene)]]tetrakisphosphonic acid, sodium salt",310-115-0,
12304,14793f36-f767-492a-98ea-f86fffef820d,"Leuco polysulfided 4-[(2,4-dinitrophenyl)amino]phenol [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 53235]",310-132-3,
12305,373b9bf0-ae3e-46a2-a29b-4e8e825f427b,"Chromate(1-), bis[4-[[4-(ethylsulfonyl)-2-hydroxyphenyl]azo]-2,4-dihydro-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)]-, compd. with 1,6-hexanediamine (2:1)",310-133-9,
12306,5ae49d74-fd6a-4b73-a356-7fb900e29a61,"Phenol, dodecyl-, branched",310-154-3,
12308,da7abf4c-d5ad-41ef-9f53-a9901fddbb1f,"Cobalt aluminate blue spinel [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 77346]",310-193-6,Alumina
12309,dfe26901-8e0a-4f53-b619-d1d4fd9cada1,"1,1'-isopropylidenebis(ethylferrocene)",310-202-3,
12310,50aceb65-b526-4bda-a75f-aaa98dfa425e,"Melaleuca viridiflora extract [Extractives and their fisically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from Melaleuca viridiflora, Myrtaceae.]",310-217-5,
12311,78c9969d-e3e0-4002-9ba4-92d4ade07513,"Distillates (coal tar), high-temperature, heavy oils [The distillate from the fractional distillation of high-temperature coal tar having an approximate distillation range of 280°C to 450°C (536°F to 842°F). Composed primarily of tri- and polynuclear aromatic hydrocarbons.]",310-231-1,Coal Tar
12312,91bcc8a6-8451-4ca3-ac0b-b5b2dc511970,"Extract residues (coal tar), high-temperature, naphthalene oil alkaline, distn. overheads [The distillate from alkali-washed naphthalene oil from high temperature coal tar having an approximate distillation range of 180°C to 220°C (356°F to 428°F). Composed primarily of naphthalene, alkylbenzenes, indene, and indan.]",310-256-8,Coal Tar
12313,9b5b69cd-81c1-413b-9b6e-2a82ad6fb6c7,"Ethanol, 2-butoxy-, manufacture of, by-products from [A complex mixture of oxygenated hydrocarbons produced by the distillation of residues from the manufacture of ethylene glycol monobutyl ether. It consists predominantly of a mixture of di-, tri-, tetra- and pentaethylene glycol monobutyl ethers having carbon numbers predominantly in the range C8 to C14 and boiling in the range of approximately 210°C to 310°C (410°F to 590°F).]",310-287-7,Ethylene Glycol
12314,05002e56-4078-4f49-8a99-f1148a7bdf10,"Ethanol, 2-ethoxy-, manufacture of, by-products from [A complex mixture of oxygenated hydrocarbons produced by the distillation of residues from the manufacture of ethylene glycol monoethyl ether. It consists predominantly of a mixture of di-, tri-, tetra- and pentaethylene glycol monoethyl ethers having carbon numbers predominantly in the range C6 to C12 and boiling in the range of approximately 200°C to 300°C (392°F to 572°F).]",310-288-2,Ethylene Glycol
12315,4f497b99-4d78-432f-9292-5602d8b1d87f,"Ethanol, 2-methoxy-, manufacture of, by-products from [A complex mixture of oxygenated hydrocarbons produced by the distillation of residues from the manufacture of ethylene glycol monomethyl ether. It consists predominantly of a mixture of di-, tri-, tetra- and pentaethylene glycol monomethyl ethers having carbon numbers predominantly in the range C5 to C11 and boiling in the range of approximately 200°C to 300°C (392°F to 572°F).]",310-289-8,Ethylene Glycol
12316,8bc38f8e-7d1c-4796-b3da-13e316f39991,"Ethanol, 2-methoxy-, manufacture of, by-products from, esters with boric acid",310-290-3,Boric Acid
12317,cb19348f-70a2-4a6f-995c-60dc67a469fb,"Hexasodium [4,4''-azoxybis(2,2'-disulfonatostilbene-4,4'-diylazo)]-bis[5'-sulfonatobenzene-2,2'-diolato-O(2),O(2),N(1)]-copper(II)",400-020-3,
12318,ae1e3aca-9fc3-46c8-9591-f42c572e43cc,Bentone SD 2,400-060-1,
12319,1d56decc-0eac-4bf3-afb7-efe36917f4e1,Yellow UZ 3217-A,400-090-5,
12321,52e0b38b-7d0d-437d-a82a-1405e7dd02ff,Sodium 1-amino-4-[2-methyl-5-(4-methylphenylsulfonylamino)phenylamino]anthraquinone-2-sulfonate [BLEU N-RM 2114; BLEU NYLOSAN N-BLN; BLUE N-RM 2114; NYLOSAN BLAU N-BLN; NYLOSAN BLEU N-BLN; NYLOSAN BLUE N-BLN],400-100-8,
12323,a4acebdd-39ca-4194-9fcc-62b9b0e4a3bb,"Ammonium bis(1-(3,5-dinitro-2-oxidophenylazo)-3-(N-phenylcarbamoyl)-2-naphtholato)chromate(1-)",400-110-2,
12324,dd966092-5b3e-41f3-8d63-96476038208b,A mixture of isomers of (chlorophenyl)(chlorotolyl)methane [UGILEC 121],400-140-6,
12325,7bc91b40-af6b-432c-8cc3-e21e546907ea,"Hydrogen potassium sodium 4-amino-6-(5-(5-chloro-2-fluoro-6-methylpyrimidin-4-ylamino)-2-sulfonatophenylazo)-3-(2,5-disulfonatophenylazo)-5-hydroxynaphthalene-2,7-disulfonate [C.I. REACTIVE BLUE 213]",400-150-0,
12326,60b86582-a3f5-419e-88e7-ccf158b3b6c7,"Reaction products of tall-oil fatty acids, diethanolamine and boric acid [LZ 5391]",400-160-5,Ethanolamine
12327,4458da86-4f3f-4e54-a085-e82da45b6ab8,LZ-Z 1,400-180-4,
12328,b3152253-2bb0-4c74-bd1e-6bea96252cfc,DRIMARENE BRILLIANT RED X-2BN,400-190-9,
12329,0d2e3e58-a8fb-42b8-9e3e-285ce57ccc48,"A mixture of: 1,1'-((6-amino-1,3,5-triazine-2,4-diyl)diimino)dipropan-2-ol; 1,1',1''-((1,3,5-triazine-2,4,6-triyl)triimino)tripropan-2-ol [MELPOL]",400-200-1,
12330,a7a4e24f-adad-44ef-ba35-06068c36373d,"Trisodium, bis [2-((E)-(4-hydroxy-2-oxido-3-((E)-(5-sulfonatonaphthalen-1-yl)diazenyl)phenyl)diazenyl)benzoate] chromate(3-)",400-320-4,
12331,475b70a4-533a-4006-a114-869ef8b809be,INDOSOL RUBINOL SF-RG,400-330-9,
12332,86955309-7f25-4b88-a7eb-2c40dbf636b8,Disodium 1-amino-4-(4-benzenesulfonamido-3-sulfonatoanilino)anthraquinone-2-sulfonate,400-350-8,
12333,8cd04063-8fbe-453a-8b34-43acc28557ab,ACTREL 400,400-370-7,
12334,437a6d4f-abd4-45b7-8b7e-ecfe2cd9dedc,"7,7-dimethyl-3-oxa-6-azaoctan-1-ol [FLEXSORB-SE]",400-390-6,
12335,f1444c65-a243-41df-a66d-07704046593e,"N,N'-propylene-1,3-diylbis[N-(hydroxycarbonylmethyl)glycine] [1,3-PDTA; AGENT CHELATANT KODAK NO.1; DISSOLVINE PDZ; HAMPSHIRE PDTA; KODAK CHELATING AGENT NO.1; TRILON R FS]",400-400-9,Glycine
12336,3d375f86-d73f-4cb6-801f-8c95a6b214c1,cyclohexyl salicylate,400-410-3,Hexyl Salicylate
12339,0ade7c4d-7e4c-4b6c-9546-beb9b1759c06,Perfluoroperhydrophenanthrene,400-470-0,
12340,3a00ff61-2ff7-4b6f-8390-c1d5a298e80c,"Calcium P,P'-(1-hydroxyethylene)bis(hydrogen phosphonate)dihydrate [INPAC XP40; XP40 INPAC]",400-480-5,
12341,2c54d4a0-8abf-44c6-85ef-12fad18480fb,"A mixture of isomers of ethylenediammonium O,O-bis(octyl) phosphorodithioate [Z-2]",400-520-1,
12342,893d9682-4319-46af-8998-03d71fcf0754,"A mixture of: dodecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5.1.11.2)henicosan-20-yl)propionate; tetradecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5.1.11.2)henicosan-20-yl)propionate [HOSTAVIN N 24; SANDUVOR 3050; VP SANDUVOR 3050]",400-580-9,
12343,6af64801-05f8-4871-9b82-b178ad28d72e,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,400-600-6,
12345,76cb732e-b0cb-431a-a5ae-1b856fb42273,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one [ACETOCURE 97; GENOCURE*PMP; IGM 4817; IRGACURE 907; SPEEDCURE 97],400-600-6,
12348,e8b6837d-bbb7-4b51-9f24-30085f3ec38c,"7-Benzothiazolesulfonic acid, 2-[4-[[4-[[3-[[5-(aminocarbonyl)-1-ethyl-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridinyl]azo]-4-sulfophenyl]amino]-6-chloro-1,3,5-triazin-2-yl]amino]phenyl]-6-methyl-, disodium salt",400-640-4,
12349,7f737661-621f-429e-bc5f-495248fcc167,C.I. Reactive Yellow 161,400-640-4,
12350,79301dc8-0af5-4511-8225-f93dcaa6b69c,Methyl 2-(2-nitrobenzylidene)acetoacetate [2-NITROBENZYLIDENE METHYL ESTER; BAY O 2787],400-650-9,
12351,0f8f2f32-12cb-44b2-b93c-88c4da8296d0,Ammonium iron(III) trimethylenediaminetetraacetate hemihydrate [AMMONIUM-EISEN-PDTA; AMMONIUM-IRON-PDTA; COMPLEX OF CHELATING AGENT NO. 1; DISSOLVINE FD-FE-14; DISSOLVINE PD-FE-14; PDTA-FN; RAZ; SEL COMPLEXE D'AGENT CHELATANT KODAK NO. 1],400-660-3,
12352,64c44bc2-341b-4912-b94d-4f813beec24b,"Monosodium aqua-[5-[[2,4-dihydroxy-5-[(2-hydroxy-3,5-dinitrophenyl)azo]phenyl]azo]-2-naphthalensulfonate], iron complex [SÄUREBRAUN 6229]",400-720-9,
12354,ff11f9bf-5590-431a-9646-84fd226ff1c8,"2,6-Dioxo-3-phenyl-7-(4-n-propoxy-phenyl)-2,6-dihydrobenzo-(1,2-b;4,5-b')difuran",400-750-2,
12355,4225b73d-8a9c-4d9d-b94c-ce8904b806a9,DRIMAREN ORANGE X-3LGN CONC.,400-800-3,
12356,64397d4a-f36f-4750-8ed8-468f3ba8ef92,"Benzenepropanoic acid, 3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxy-, methyl ester",400-820-2,
12357,6f58f8f9-dc8c-476f-8e67-9528363b1cbf,Methyl 3-[3-(2H-benzotriazol-2-yl)-4-hydroxy-5-(2-methyl-2-propanyl)phenyl]propanoate,400-820-2,
12360,237cab44-6c23-4935-ba41-7c81b6c7f711,A mixture of: α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-hydroxypoly(oxyethylene); α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyloxypoly(oxyethylene) [EVERSORB 80; TINUVIN 1130; TINUVIN 213],400-830-7,
12365,e8388bc2-aaac-44de-ab95-574572a06190,C.I. Reactive Blue 215,400-850-6,
12366,6a295ea2-b785-4d08-9949-7cc97a3c12c8,SOLSPERSE 25000,400-860-0,
12367,f1397675-c4be-487f-8f5c-1c678dfa4a97,"[2,2'-[1,2-phenylenebis(nitrilomethylidyne)]-bis(phenolato)]-N,N',O,O'-nickel(II) [BRUN JAUNE ESTOFIL S-3RL; BRUNO GIALLO ESTOFIL S-3RL]",400-870-5,
12368,7a410239-44ff-4b9f-a37f-3917f1803751,C.I. Acid Yellow 246,400-910-1,
12369,57ca050e-128f-4402-a149-148c99e8c22d,Black HM 2482,400-920-6,
12370,799e42b1-b3b4-4b2d-913b-d5be5bd9eac7,"2-(4-{2-[(1Z)-2-hydroxy-1-[(5-sulfonaphthalen-1-yl)carbamoyl]prop-1-en-1-yl]diazen-1-yl}phenyl)-6-methyl-1,3-benzothiazole-7-sulfonic acid 2-[bis(2-hydroxyethyl)amino]ethan-1-ol amine potassium hydride sodium hydride",400-940-5,
12371,a7ebf3ea-c48c-4c60-8fcc-2de7271c6f55,Dilithium 7-acetamido-1-hydroxy-2-(4-((2-sulfonatooxy)ethylsulfonyl)phenylazo)naphthalene-3-sulfonate,401-010-1,
12372,e4e4a29c-262f-4f5f-a1d4-f682c81d9956,RI 9410,401-020-6,
12373,ec26f9d2-4d7a-46e4-9072-2c415c06be5a,"Reaction mass of 2-HEPTANOL, 3,4,5,6,6-PENTAMETHYL and 2-HEPTANOL, 3,4,5,5,6-PENTAMETHYL and 2-Heptanol,4-Methylene-3,5,6,6-Tetramethyl- and 2-Heptanol,4-Methylene-3,5,5,6-Tetramethyl-",401-030-0,
12374,628ce9b0-137c-42e9-b6ac-e25db6f2a214,C 1559,401-080-3,
12375,4259cd89-5c93-4418-8bbc-e9a75d8cf2ba,"Tetrasodium 8-(4-chloro-6-(4-(2-(sulfonatooxy)ethylsulfonyl)anilino)-1,3,5-triazin-2-ylamino)-1-hydroxy-2-(2-sulfonatophenylazo)naphthalene-2,7-disulfonate",401-090-8,
12376,189f9184-cb6b-4bc3-b736-75b4d3ac3fcc,Butyl (dialkyloxy(dibutoxyphosphoryloxy))titanium(trialkyloxy)titanium phosphate [TILCOM CA35; TILCOM IA10; TYTAN AP 100; TYTAN CA 100; TYTAN CX 35; TYZOR IAM],401-100-0,
12379,765cfa2a-5745-4b3a-8fd1-a7fe1ad017f0,3-icosyl-4-henicosylidene-2-oxetanone [BEHENYLKETENDIMER; HERCULES PMC D-532; PMC D-532],401-210-9,
12381,47522a23-4b39-45e3-8ec7-327e710dc045,"A mixture of: 2-[N-(2-hydroxyethyl)stearamido]ethyl stearate; sodium [bis[2-(stearoyloxy)ethyl]amino]methylsulfonate; sodium [bis(2-hydroxyethyl)amino]methylsulfonate; N,N-bis(2-hydroxyethyl)stearamide",401-230-8,
12382,bca6f33b-77ce-4a40-a01f-087f27525672,Bis(C12-15-alkyl) carbonate [SR1000],401-240-2,
12383,6f6269f2-bc09-4cce-b41f-26f305539c04,CARTASOL TUERKIS K-ZBL BASE,401-250-7,
12384,50b3f036-b42c-4418-8cab-1bd31e174550,Reaction products of (tris(chloromethyl)phthalocyaninato)copper(II) with N-methylpiperazine and methoxyacetic acid [CARTASOL TUERKIS K-ZBL KONC.; CARTASOL TURQUOISE K-JD 2336; CARTASOL TURQUOISE K-JD 2336 CONC.; CARTASOL TURQUOISE K-ZBL CONC.; CARTASOL TÜRKIS K-ZBL FLÜSSIG; CARTASOL TÜRKIS K-ZBL KONZ.; TURQUOISE CARTASOL K-JD 2336 CONC.],401-260-1,Acetic Acid
12385,eab83b54-146e-4ec2-b0f4-bd2b0948871d,C.I. Reactive Blue 224,401-270-6,
12386,0b056b4b-b036-45f3-a939-cebb3ab13b42,"1-(N,N-bis(2-ethylhexyl)aminomethyl)-1,2,4-triazole [CM 23-376; REOMET 30]",401-280-0,
12388,38c0549d-8649-4854-aef7-17921fce7be6,"2,9,11,13,15,22,24,26,27,28- decaazatricyclo[21.3.1.1^(10,14)]octacosa- 1(27),10,12,14(28),23,25-hexaene-12,25-diamine, N,N'-bis(1,1,3,3-tetramethylbutyl)-2,9,15,22-tetrakis(2,2,6,6-tetramethyl-4-piperidinyl)-",401-300-8,
12392,4b20595e-be22-4d6a-a784-596ef2c3ecb8,"2,9,11,13,15,22,24,26,27,28-Decaazatricyclo[21.3.1.110,14]octacosa-1(27),10,12,14(28),23,25-hexaene-12,25-diamine, N12,N25-bis(1,1,3,3-tetramethylbutyl)-2,9,15,22-tetrakis(2,2,6,6-tetramethyl-4-piperidinyl)-",401-300-8,
12393,56a9eb2f-ae1f-4a8d-9ecc-732f56524243,"Hexasodium 2-[8-amino-7-[[5-[[4-chloro-6-[[3-[[2-(sulfato)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl] amino]-2 sulfonatophenyl]azo]-1-hydroxy-3,6-disulfonato-2-naphthalenyl]azo]-naphthalene-1,5-disulfonate",401-310-2,
12395,f372cb78-a988-41dd-920c-048b3cef2dd8,"Disodium S,S'-hexane-1,6-diyldi(thiosulfate) dihydrate [DURALINK (R) HTS; ERP-390]",401-320-7,
12396,98420ab4-43a2-4ccf-ba8a-cacdee1779ef,"4-methoxy-N,6-dimethyl-1,3,5-triazin-2-ylamine [2-METHOXY-4-METHYL-6-METHYLAMINO-1,3,5-TRIAZIN; DPX-L5296; L5296]",401-360-5,
12397,1b31b949-000b-4879-86e9-97ac86856527,"A mixture of: bis(4-fluorophenyl)-methyl-(1,2,4-(4H)-triazol-4-ylmethyl)silane hydrochloride; bis(4-fluorophenyl)-methyl-(1,2,4-(1H)-triazol-1-ylmethyl)silane hydrochloride [U 9649]",401-380-4,
12398,98489709-93ea-46e1-b8cc-c55e79dc3d3b,"2,7-Naphthalenedisulfonic acid, 5-(chloro-(2-(2-substitutedalkoxy)alkylamino)- heteromonocyclylamino)-3-(4-substitutedphenyl)azo)-4-hydroxy-, potassium sodium salt",401-420-0,
12399,cc57bcc3-394f-4070-b18d-1ecf90023458,(benzothiazol-2-ylthio)succinic acid [(2-BENZOTHIAZOLYLTHIO)BERNSTEINSÄURE; BTTBS; HALOX 650; IRGACOR 252],401-450-4,Succinic Acid
12400,6a1b1032-79dd-4a0e-a1d7-f07f07851ec8,3-(1-ethyl-1-methylpropyl)-5-isoxazolamine [128719],401-460-9,
12401,13ed318e-17c9-4795-bdd9-2a106bbe4d36,Bentone SD-3,401-480-8,
12402,07978770-a6ef-47df-b917-7546428fdf66,"A mixture of: copper(I) O,O-diisopropyl phosphorodithioate; copper(I) O,O-bis(1,3-dimethylbutyl) phosphorodithioate; copper(I) O-isopropyl O-(1,3-dimethylbutyl)phosphorodithioate [LZ-Z 3; Z3]",401-520-4,
12403,27b02d81-985a-45e9-a4fd-17997df2e81d,"Pyrrolo[3,4-c]pyrrole-1,4-dione, 3,6-bis(4-chlorophenyl)-2,5-dihydro-",401-540-3,
12407,e25e36c1-9656-41d2-9634-008d85558236,"Lithium sodium hydrogen 4-amino-6-(5-(5-chloro-2,6-difluoropyrimidin-4-ylamino)-2-sulfonatophenylazo)-5-hydroxy-3-(4-(2-(sulfonatooxy)ethylsulfonyl)phenylazo)naphthalene-2,7-disulfonate [REACTIVE BLUE FC 05 717]",401-560-2,
12408,dba67d60-3504-4880-9c95-692ee8de24c8,Diamminediisocyanatozinc [GENIPLEX A],401-610-3,
12409,60b49bce-1693-402a-91fc-fb1c74b3b63d,Methoxycarbonyloxycyclooct-4-ene [VIOLIFF],401-620-8,
12411,60078d1d-7d68-4a05-a636-4919ba48e0a3,Tin(II) bis(methanesulfonate) [STANNOUS METHANE SULPHONAT; STANNOUS METHANE SULPHONATE; TIN (II) METHANE SULPHONATE; TIN METHANE SULPHONATE; TIN METHANESULFONATE; TIN SALT FS; ZINN(II) METHANESULFONATE; ZINN(II)-METHANSULFONAT],401-640-7,
12412,cbae90d5-f893-4884-886b-1c4ac9fc5bcf,"A mixture of: hexasodium 7-(4-(4-(4-(2,5-disulfonatoanilino)-6-fluoro-1,3,5-triazin-2-ylamino)-2-methylphenylazo)-7-sulfonatonaphthylazo)naphthalene-1,3,5-trisulfonate; hexasodium 7-(4-(4-(4-(2,5-disulfonatoanilino)-6-hydroxy-1,3,5-triazin-2-ylamino)-2-methylphenylazo)-7-sulfonatonaphthylazo)naphthalene-1,3,5-trisulfonate",401-650-1,
12413,162a4de4-d477-4b81-9c32-98b33a51629a,3-chloro-5-trifluoromethyl-2-pyridylamine [ACTF; P-007],401-670-0,
12414,5e807efe-d930-4607-9b3a-0e73bab047a4,"A mixture of: isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-(n)-dodecylphenol; isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-(n)-tetracosylphenol; isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-5,6-didodecyl-phenol. n=5 or 6 [TINUVIN 171; TINUVIN 571]",401-680-5,
12416,6094d9ea-f499-41d9-a7ac-a7f3d88cab16,A mixture of cis- and trans-cyclohexadec-8-en-1-one,401-700-2,
12417,02ca45d8-a231-4e9d-b004-2a109de9fee6,A mixture of cis- and trans-cyclohexadec-8-en-1-one [CYCLOHEXADECENON; CYCLOHEXADECENONE],401-700-2,
12419,edaeb3be-15c8-4bea-9032-ebfd0dc405ba,A mixture of: 2-chloroethyl and chloropropyl 2-chloroethylphosphonate; 2-chloroethyl and chloropropyl 2-chloropropylphosphonate [ADINE CP 31],401-740-0,
12420,bef5601b-96ee-440c-96b0-4a0b29d1342d,Lead(II) bis(methanesulfonate) [BLEIMETHANSULFONAT; LEAD (II) METHANESULFONATE; LEAD METHANE SULPHONATE; LEAD SALT FP],401-750-5,
12421,6b94374d-a9dd-430d-850f-300d359293fb,"2,6-dichloro-4-amino-(1,1,2,2-tetrafluoroethoxy)benzene [DCATFOB; XRD 473 ANILINE]",401-790-3,
12423,7f4a974c-9573-4e8e-89fb-957e23c8faaf,"3,5-dichloro-2,4-difluorobenzoyl fluoride [3,5-DICHLORO-2,4-DIFLUOROBENZOYLFLUORIDE]",401-800-6,
12424,13250bc4-fbbb-424d-8a9c-bc98dc42cb1d,"3,3'-bis(dioctyloxyphosphinothioylthio)-N,N'-oxybis(methylene)dipropionamide [Z-4]",401-820-5,
12425,56d0a18e-6c09-454f-a0b1-150481de5023,1-(3-hydroxyphenyl)-1-oxo-2-(N-benzyl-N-ethyl)aminoethane hydrochloride [ETILEFRONE. HCL],401-840-4,
12426,044f0b36-83b3-47c6-a596-d69a73ff49ea,"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate [X4261]",401-850-9,
12427,070f42e7-28e4-4fb1-9f4e-3392ec3468ac,Cibatex 4458,401-910-4,
12428,3b03bfbd-a7ec-4ac9-bdf2-eb8d729394fc,"A mixture of: 5-heptyl-1,2,4-triazol-3-ylamine; 5-nonyl-1,2,4-triazol-3-ylamine [PK 323]",401-940-8,
12429,88e78db9-9f1b-43b1-814b-0fbc082d2293,3-(dimethylamino)propylurea [3-(DIMETHYLAMINO)PROPYL UREA; HST 2844],401-950-2,Urea
